DATE,TIME,ASSET,STATE,PRODUCT
18/07/2023,06:46:42,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,06:56:48,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,07:08:25,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,07:14:38,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,07:26:14,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,07:41:13,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,07:52:53,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,07:58:45,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,08:10:24,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,08:15:46,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,08:27:23,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,08:42:37,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,08:54:16,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,09:00:21,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,09:12:00,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,09:17:02,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,09:28:44,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,10:18:15,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,10:29:52,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,10:35:09,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,10:46:45,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,10:52:25,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,11:04:06,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,11:10:30,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,11:22:10,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,11:27:51,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,11:39:28,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,11:46:13,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,11:57:50,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,12:04:49,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,12:16:29,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,13:06:23,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,13:18:04,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,13:26:02,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,13:37:39,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,13:47:30,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,13:59:06,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,14:04:37,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,14:16:16,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,14:21:05,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,14:32:44,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,14:58:07,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,15:09:44,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,15:14:16,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,15:25:53,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,15:30:30,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,15:42:10,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,15:49:52,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,16:01:33,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
18/07/2023,16:04:51,MZK-003,CYCLE START ,C4530-40-01 Top Cover Mount
18/07/2023,16:04:59,MZK-003,CYCLE END ,C4530-40-01 Top Cover Mount
